ObjectID,Date,Latitude,Longitude,Season,Species,ScientificName,SpeciesCategory,AnimalStatus,DummyCol
3,11/14/2018,26.57475,93.10947222,Non-monsoon,Copper Headed Trinket Snake,Coelognathus radiatus,Herptile,Dead,test
2,11/14/2018,26.576,93.16283333,Non-monsoon,Large Indian Civet,Viverra zibetha,Mesocarnivore,Dead,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
1,11/14/2018,26.62569444,93.53313889,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
9,11/27/2018,26.57488889,93.17544444,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Near Road,test
8,11/27/2018,26.58427778,93.33736111,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
18,11/27/2018,26.61797222,93.51463889,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
4,11/27/2018,26.57472222,93.10816667,Non-monsoon,Capped Langur,Trachypithecus pileatus,Primate,Alive Crossing Road,test
4,11/27/2018,26.57472222,93.10816667,Non-monsoon,Capped Langur,Trachypithecus pileatus,Primate,Alive Crossing Road,test
4,11/27/2018,26.57472222,93.10816667,Non-monsoon,Capped Langur,Trachypithecus pileatus,Primate,Alive Crossing Road,test
4,11/27/2018,26.57472222,93.10816667,Non-monsoon,Capped Langur,Trachypithecus pileatus,Primate,Alive Crossing Road,test
4,11/27/2018,26.57472222,93.10816667,Non-monsoon,Capped Langur,Trachypithecus pileatus,Primate,Alive Crossing Road,test
17,12/1/2018,26.62277778,93.52469444,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
17,12/1/2018,26.62277778,93.52469444,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
17,12/1/2018,26.62277778,93.52469444,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
5,12/1/2018,26.58397222,93.33661111,Non-monsoon,Common Krait,Bungarus caeruleus,Herptile,Dead,test
6,12/20/2018,26.57427333,93.18892333,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Near Road,test
7,12/20/2018,26.58427778,93.33736111,Non-monsoon,Asian Rhino,Rhinoceros unicornis,Ungulate,Alive Crossing Road,test
16,12/29/2018,26.57425,93.18891667,Non-monsoon,Asian Rhino,Rhinoceros unicornis,Ungulate,Alive Near Road,test
14,12/29/2018,26.58427778,93.33736111,Non-monsoon,Asian Rhino,Rhinoceros unicornis,Ungulate,Alive Crossing Road,test
10,12/29/2018,26.57467167,93.19419667,Non-monsoon,Asiatic Water Buffalo,Bubalus arnee,Ungulate,Alive Crossing Road,test
10,12/29/2018,26.57467167,93.19419667,Non-monsoon,Asiatic Water Buffalo,Bubalus arnee,Ungulate,Alive Crossing Road,test
10,12/29/2018,26.57467167,93.19419667,Non-monsoon,Asiatic Water Buffalo,Bubalus arnee,Ungulate,Alive Crossing Road,test
10,12/29/2018,26.57467167,93.19419667,Non-monsoon,Asiatic Water Buffalo,Bubalus arnee,Ungulate,Alive Crossing Road,test
15,12/29/2018,26.57391667,93.14594444,Non-monsoon,Asiatic Water Buffalo,Bubalus arnee,Ungulate,Alive Crossing Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
11,12/29/2018,26.57393,93.14594833,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
12,12/29/2018,26.568315,93.13145,Non-monsoon,Hog Deer,Axis porcinus,Ungulate,Alive Near Road,test
13,12/29/2018,26.57463889,93.19461111,Non-monsoon,Small Indian Civet,Viverricula indica,Mesocarnivore,Dead,test
22,12/31/2018,26.57197222,93.14263889,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
22,12/31/2018,26.57197222,93.14263889,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
21,12/31/2018,26.57825,93.26555556,Non-monsoon,Hog Badger,Arctonyx collaris,Mesocarnivore,Dead,test
19,12/31/2018,26.58548833,93.32770667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Near Road,test
19,12/31/2018,26.58548833,93.32770667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Near Road,test
19,12/31/2018,26.58548833,93.32770667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Near Road,test
19,12/31/2018,26.58548833,93.32770667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Near Road,test
20,12/31/2018,26.57600667,93.173685,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Dead,test
20,12/31/2018,26.57600667,93.173685,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Dead,test
23,1/2/2019,26.575885,93.20210667,Non-monsoon,Wild Boar,Sus scrofa,Ungulate,Alive Near Road,test
23,1/2/2019,26.575885,93.20210667,Non-monsoon,Wild Boar,Sus scrofa,Ungulate,Alive Near Road,test
23,1/2/2019,26.575885,93.20210667,Non-monsoon,Wild Boar,Sus scrofa,Ungulate,Alive Near Road,test
23,1/2/2019,26.575885,93.20210667,Non-monsoon,Wild Boar,Sus scrofa,Ungulate,Alive Near Road,test
23,1/2/2019,26.575885,93.20210667,Non-monsoon,Wild Boar,Sus scrofa,Ungulate,Alive Near Road,test
23,1/2/2019,26.575885,93.20210667,Non-monsoon,Wild Boar,Sus scrofa,Ungulate,Alive Near Road,test
25,1/5/2019,26.576065,93.15423667,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
25,1/5/2019,26.576065,93.15423667,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
26,1/5/2019,26.57735667,93.08217667,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
26,1/5/2019,26.57735667,93.08217667,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
27,1/5/2019,26.574,93.18733333,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
27,1/5/2019,26.574,93.18733333,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
24,1/5/2019,26.62220167,93.52243667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
24,1/5/2019,26.62220167,93.52243667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
24,1/5/2019,26.62220167,93.52243667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
24,1/5/2019,26.62220167,93.52243667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
24,1/5/2019,26.62220167,93.52243667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
24,1/5/2019,26.62220167,93.52243667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
24,1/5/2019,26.62220167,93.52243667,Non-monsoon,Rhesus Macaque,Macaca mulatta,Primate,Alive Crossing Road,test
28,1/7/2019,26.58420667,93.33745,Non-monsoon,Asian Elephant,Elephas maximus,Ungulate,Alive Crossing Road,test
29,1/7/2019,26.57719833,93.08327333,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
29,1/7/2019,26.57719833,93.08327333,Non-monsoon,Barking Deer,Muntiacus muntjak,Ungulate,Alive Near Road,test
